brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Available Stock
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $3,176.99 ",23,73070.77,299
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $809.99 ,25,20249.75,93
AWOW,VT11,11.6 Inches,Blue,256 GB,Celeron,6 GB,Windows 11,Support Stylus,Integrated,,,3.5," $1,616.99 ",65,105104.35,183
ASUS,Vivobook Pro 16X,16 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,,Dedicated,,5.6 GHz,4.2," $1,699.00 ",20,33980,311
Apple,,16.2 Inches,,2 TB,Apple M2 Max,64 GB,Mac OS,Backlit Keyboard,Integrated,,3.6 GHz,," $1,599.00 ",15,23985,448
MSI,Modern 15 B7M-223US,15.6 Inches,Classic Black,1 TB,Ryzen 7,16 GB,Windows 11 Pro,,Integrated,AMD Radeon Graphics,,5," $2,023.03 ",29,58667.87,333
HP,ZBook Firefly 14 G9,14 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,, $633.99 ,29,18385.71,212
MSI,Raider GE68HX,16 Inches,,1 TB,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,5, $738.79 ,36,26596.44,121
Dell,PMTF1,16 Inches,,1 TB,Core i9,64 GB,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 4000,2.2 GHz,, $919.99 ,33,30359.67,276
ASUS,Chromebook Detachable CM3,10.5 Inches,Mineral Gray,65 GB,MediaTek MT8183,4 GB,Chrome OS,Stylus,Integrated,,,4.1," $1,699.00 ",20,33980,403
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,472.99 ",63,92798.37,489
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $389.99 ,23,8969.77,238
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $2,291.99 ",17,38963.83,271
HP,Pavilion,14 Inches,Blue,256 GB,Core i3,8 GB,Windows 11 S,,Integrated,Intel Iris Xe Graphics,,5," $1,693.99 ",63,106721.37,142
SAMSUNG,Wifi,14 Inches,Silver,32 GB,Celeron,8 GB,Chrome OS,"Waterproof, Ruggedized, Military Grade",Integrated,,,4.1, $999.99 ,23,22999.77,311
acer,Acer Chromebook,11.6 Inches,Black,,AMD A Series,,Chrome OS,Backlit,Integrated,AMD Radeon R5,1.8 GHz,4.4," $1,743.00 ",40,69720,258
ASUS,Vivobook 15X,15.6 Inches,Indie Black,512 GB,Ryzen 5,8 GB,Windows 11 Home,,Integrated,,4.3 GHz,4.8," $1,720.95 ",56,96373.2,145
Dell,Latitude,14 Inches,,256 GB,Core i5,16 GB,Windows 11 Pro,Anti-glare,Integrated,,3 GHz,3.9," $1,652.99 ",28,46283.72,492
Apple,,13.6 Inches,Space Gray,1 TB,,16 GB,macOS 10.12 Sierra,,Integrated,,,," $1,217.99 ",20,24359.8,437
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,399.99 ",62,86799.38,139
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $185.95 ,60,11157,136
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $873.00 ,21,18333,369
ASUS,Expertbook B9,14 Inches,Black,2 TB,Intel Core i7,32 GB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Integrated,,,1, $459.99 ,64,29439.36,129
HP,14a-ca0022nr,14 Inches,Mineral Silver,64 GB,Pentium N5000,4 GB,Chrome OS,HD Audio,Integrated,,,4.5, $639.99 ,46,29439.54,467
Lenovo,20UXS06900,13.3 Inches,,32 GB,Athlon,4 GB,Chrome OS,"Anti-glare,Narrow Bezel,Pen",Integrated,AMD Radeon Graphics,,4.5," $1,071.00 ",62,66402,137
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $389.99 ,24,9359.76,102
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $639.99 ,48,30719.52,480
Gigabyte,AORUS 15X ASF-D3US754SH,15.6 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,,Dedicated,Intel Iris Xe Graphics,,4.1, $659.90 ,22,14517.8,231
Lenovo,Lenovo ThinkPad T14,14 Inches,Black,1 TB,Core i7 Family,16 GB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard",Integrated,,,, $998.99 ,60,59939.4,383
Lenovo,IdeaPad 3 15ITL6,15.6 Inches,Arctic Gray,512 GB,Core i5 Family,12 GB,Windows 10 Home,Anti-glare Screen,Iris Xe Graphics,,,4.3, $899.99 ,33,29699.67,141
Dell,DELL XPS 15 9520,15.6 Inches,Platinum Silver,4 TB,Core i7,64 GB,Windows 11 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,, $899.81 ,54,48589.74,229
Microsoft,Surface Pro,12.3 Inches,Platinum,256 GB,8032,8 GB,Windows 10 Home,,Integrated,Intel Iris Plus,,4.4," $2,155.99 ",52,112111.48,213
Dell,DELL XPS 15 9520,15.6 Inches,Platinum Silver,1 TB,Core i7,32 GB,Windows 11 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,2.3, $422.00 ,52,21944,337
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $203.00 ,27,5481,165
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,699.00 ",60,101940,115
Dell,Latitude 9000,14 Inches,Titan Gray,512 GB,Core i7,16 GB,Windows 10 Pro,,Iris Xe Graphics,Intel Iris Xe Graphics,,3.6," $1,999.00 ",19,37981,192
HP,Pavilion,14 Inches,,128 GB,Ryzen 3 3250U,8 GB,Windows 11,Anti-glare Screen,Integrated,AMD Radeon Graphics,,4.3, $999.99 ,45,44999.55,410
ASUS,Vivobook 15,15.6 Inches,Indie Black,512 GB,Ryzen 5,8 GB,Windows 11 Home,,Integrated,,4.3 GHz,5," $2,999.99 ",42,125999.58,234
Dell,V7620,16 Inches,Black,512 GB,Core i7 Family,16 GB,Windows 11 Pro,Backlit Kb,Dedicated,,,," $2,799.00 ",13,36387,109
ASUS,ASUS VivoBook 15,15.6 Inches,Slate Grey,128 GB,Ryzen 5 3500U,8 GB,Windows 10 Home,Fingerprint reader,Integrated,,,4.5, $999.99 ,29,28999.71,390
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $3,335.99 ",32,106751.68,284
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $589.99 ,46,27139.54,439
Lenovo,IdeaPad 3 15ITL05,15.6 Inches,Platinum Grey,256 GB,Core i3 Family,8 GB,Windows 11,Anti-glare,Integrated,,,4.3, $700.43 ,37,25915.91,447
Lenovo,Lenovo Chromebook Duet,10.1 Inches,Ice Blue + Iron Grey,64 GB,MediaTek Helio P60T,4 GB,Chrome OS,,Integrated,integreted,,4.4, $389.99 ,65,25349.35,417
ASUS,Zenbook Pro 17,17.3 Inches,Black,512 GB,Ryzen 7,8 GB,Windows 11 Home,"HD Audio, Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,,4.3," $1,251.66 ",17,21278.22,226
LG,14Z90R-N.APB7U1,14 Inches,Obsidian Black,1 TB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,," $1,999.00 ",25,49975,382
Dell,Precision 5000,15.6 Inches,Aluminum Titan Gray,512 GB,Core i7,32 GB,Windows 10 Pro,"InfinityEdge, Anti-glare Screen",RTX A2000,,,2," $1,299.00 ",43,55857,334
Dell,Latitude 5000,15.6 Inches,Gray,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,, $618.99 ,61,37758.39,436
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $849.99 ,32,27199.68,194
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,699.00 ",26,44174,322
Toughbook,CF-33 MK1,12 Inches,,256 GB,Intel Core i5,8 GB,Windows 10 Pro,Backlit Keyboard,Integrated,Intel HD Graphics 520,,5, $878.37 ,18,15810.66,400
Microsoft,Laptop 4 15 R7se/8GB/512GB Platinum,15 Inches,Platinum,512 GB,Ryzen 7,8 GB,Windows 10 Home,Dolby,Integrated,,,4.9, $324.37 ,23,7460.51,314
ASUS,ZenBook S,13.9 Inches,Jade Black,1 TB,Intel Core i7,1 GB,Windows 10 Pro,Nanoedge,Intel Iris Xᵉ,,,4.1, $899.99 ,54,48599.46,122
Lenovo,ThinkPad X1 Carbon Gen 10,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11,Anti-glare Screen,Iris Xe Graphics,,,4.2," $1,494.62 ",17,25408.54,193
MSI,Prestige 13Evo A13M-050US,13.3 Inches,,1 TB,Core i7,32 GB,Windows 11 Pro,,,Intel Iris,2.2 GHz,4.3, $989.00 ,16,15824,304
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,025.01 ",63,64575.63,188
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,599.00 ",20,31980,346
Lenovo,ThinkPad P16s G1,16 Inches,Black,1 TB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,QN20-M1-R,,,," $1,699.00 ",36,61164,392
Dell,Alienware m18 Laptop,18 Inches,Black,1000 GB,Core i9,32 GB,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 4080,,," $2,815.30 ",50,140765,398
Dell,Latitude 5540 Laptop,15.6 Inches,Black,1000 GB,Core i5,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,, $459.99 ,40,18399.6,80
ASUS,ASUS Chromebook,17.3 Inches,,32 GB,Celeron N,4 GB,Chrome OS,,Integrated,Intel HD Graphics 5000,1.1 GHz,4," $1,699.00 ",27,45873,176
Dell,Latitude 3000,14 Inches,Black,256 GB,Core i5 Family,8 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,5, $389.99 ,16,6239.84,266
acer,,17.3 Inches,,256 GB,,8 GB,Windows 10 Home,,Integrated,,,3.5," $1,273.99 ",49,62425.51,395
MSI,Prestige 16Studio A13VF-039US,16 Inches,,,Core i7,32 GB,Windows 11 Pro,,RTX 4060,NVIDIA GeForce RTX 4060,3.7 GHz,, $479.99 ,30,14399.7,140
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $205.00 ,16,3280,442
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,084.99 ",46,49909.54,416
MSI,Raider GE68HX 13VI-202US,16 Inches,Black,1 TB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,, $589.99 ,45,26549.55,207
Dell,Inspiron 16,16 Inches,Green,1 TB,Core I7 12700H,40 GB,Windows 11 Home,"Anti-glare,Backlit Keyboard",Integrated,,,, $389.99 ,37,14429.63,110
Quality Refurbished Computers,Latitude,15.6 Inches,,120 GB,Core i7-620M,8 GB,Windows 7 Professional,,Integrated,Intel Integrated Graphics,2.66 GHz,4," $4,339.00 ",65,282035,479
Lenovo,ThinkPad P1 Gen 5 Mobile Workstation,16 Inches,Black,,Core i7 Family,32 GB,Windows 11 Pro,Backlit Keyboard,Dedicated,NVIDIA GeForce RTX 3070 Ti 8GB GDDR6,,5," $1,699.00 ",14,23786,274
Lenovo,"IdeaPad 3 15""",15.6 Inches,Business Black,256 GB,Ryzen 3 3250U,4 GB,Windows 10 S,"built for entertainment, multitasking & privacy",Integrated,,,4.5," $2,498.99 ",15,37484.85,134
Panasonic,CF-54,14 Inches,Black,512 GB,Core i5,16 GB,Windows 7 Pro + 10 Pro,Spill-resistant,Integrated,,,3.6, $459.99 ,64,29439.36,86
Dell,XPS 15 9000,15.6 Inches,Black,1 TB,Core i7,16 GB,Windows 11 Pro,"InfinityEdge, Anti-glare Screen",GeForce RTX 4050,,,," $1,599.00 ",36,57564,187
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,849.99 ",51,94349.49,95
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,599.00 ",19,30381,137
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $269.00 ,64,17216,90
Dell,Inspiron,15.6 Inches,Black,1 TB,Ryzen 5,32 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,4.3, $389.99 ,53,20669.47,496
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $377.30 ,31,11696.3,186
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,679.99 ",48,80639.52,369
HP,HP Pavilion,11.6 Inches,Dark Ash Silver,128 GB,Intel Core M-5Y10 Processor,4 GB,Windows 10,,Integrated,Intel UHD Graphics 605,,4.5," $1,011.25 ",48,48540,310
HP,Pavilion,17.3 Inches,Natural Silver,512 GB,Intel Core i5-1135G7,8 GB,Windows 11,Backlit Keyboard,Integrated,,,4.9," $2,548.37 ",21,53515.77,248
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $2,477.99 ",48,118943.52,158
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $389.99 ,64,24959.36,105
Dell,Latitude 5440,15.6 Inches,,512 GB,Core i7 Family,16 GB,Windows 11 Pro,"Anti-glare,Backlit Keyboard",Integrated,intel,,," $1,493.99 ",28,41831.72,309
Dell,Dell Latitude,14 Inches,Black,512 GB,Core i5 4310U,8 GB,Windows 10 Pro,,Integrated,,2 GHz,4, $459.99 ,13,5979.87,218
HP,15-eh2085cl,15.6 Inches,,512 GB,Ryzen 7,16 GB,Windows 11,,Integrated AMD Radeon™ Graphics,AMD Radeon Graphics,2 GHz,4.3, $999.99 ,19,18999.81,434
Dell,Latitude 5430,14 Inches,,,AMD Ryzen 7,16 GB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard",Integrated,AMD Radeon,,5, $589.99 ,31,18289.69,415
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,16 GB,Windows 11,,Integrated,Intel,,, $639.99 ,19,12159.81,220
Dell,Rugged 5414,14.1 Inches,Black,256 GB,Core i5,8 GB,Windows 10,,Integrated,Intel HD 520 Graphics,,4.4, $999.99 ,43,42999.57,159
Lenovo,Lenovo Ideapad,15.6 Inches,,256 GB,Core i3,4 GB,Windows 11,Dolby,Integrated,Intel UHD Graphics,,5," $1,689.00 ",63,106407,166
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $899.99 ,57,51299.43,284
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $618.99 ,64,39615.36,487
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $389.99 ,38,14819.62,433
Lenovo,ThinkBook,15.6 Inches,,512 GB,Core i5,16 GB,Windows 11 Pro,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,,," $2,729.00 ",37,100973,151
acer,CB315-4HT-P8PQ,15.6 Inches,Silver,64 GB,Pentium,8 GB,Chrome OS,,Integrated,Intel UHD Graphics,,4.4, $219.00 ,50,10950,263
Dell,Vulcan 17,17.3 Inches,Gray,512 GB,Intel Core i7,16 GB,Windows 10 Home,,Dedicated,,4.5 GHz,4.3," $2,992.63 ",29,86786.27,149
HP,HP ProBook,15.6 Inches,Silver,256 GB,Intel Core i5-1135G7,8 GB,Windows 10 Pro,,"Intel Iris, Integrated",Intel Iris Xe Graphics,,4.7, $589.99 ,41,24189.59,165
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $389.99 ,25,9749.75,444
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $2,399.00 ",54,129546,406
ASUS,ExperBook,14 Inches,Black,1 TB,Core i7,16 GB,Windows 10 Pro,Narrow Bezel,Iris Xe,,,3.7," $1,695.41 ",59,100029.19,114
HP,AMD Ryzen 5,15.6 Inches,Blue,256 GB,Ryzen 5,8 GB,Windows 11 Home,Anti-glare,Integrated,,,4.1," $1,076.22 ",33,35515.26,234
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $3,402.13 ",20,68042.6,438
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $999.99 ,40,39999.6,162
Dell,Chromebook 11,11 Inches,Black,16 GB,Celeron N2840,4 GB,Chrome OS,Dishwasher Safe,Integrated,,,4," $2,785.99 ",35,97509.65,148
HP,Victus by HP 15.6 inch Gaming Laptop PC 15-fa1010nr,15.6 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,,Dedicated,NVIDIA ® GeForce RTX™ 4050,,5, $589.99 ,12,7079.88,379
ASUS,ZenBook Flip S,13.3 Inches,Jade Black,,Intel Core i7,16 GB,Windows 10 Pro,Nanoedge,Integrated,Intel Iris Xe Graphics,,4.8," $1,550.25 ",49,75962.25,308
Lenovo,Lenovo Thinkpad,15.6 Inches,Glossy Black,256 GB,Core i5,8 GB,Windows 10 Pro,Fingerprint reader,Dedicated,,,4," $1,599.00 ",55,87945,190
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $589.99 ,42,24779.58,489
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $479.99 ,47,22559.53,111
HP,,15.6 Inches,,,,,,Backlit Keyboard,,,,5, $899.99 ,34,30599.66,367
Lenovo,Lenovo Thinkpad,14 Inches,Black,512 GB,Intel Core i7 1185G7,16 GB,Windows 10 Pro,"Anti-glare,Fingerprint Reader",Integrated,,,3.6, $459.99 ,50,22999.5,350
acer,CB315-4H-C6MH,15.6 Inches,Silver,64 GB,Celeron N,8 GB,Chrome OS,,Integrated,Intel UHD Graphics,,4.1," $2,299.00 ",17,39083,139
HP,EliteBook 865 G9,16 Inches,,512 GB,Ryzen 7,16 GB,Windows 11 Pro,Anti-glare Screen,Radeon 680M Graphics,AMD Radeon 680M Graphics,,, $389.99 ,19,7409.81,382
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,344.99 ",38,51109.62,475
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $2,939.99 ",47,138179.53,457
acer,A514-55-545G,14 Inches,Gray,512 GB,Core i5,8 GB,Windows 11 Home,Backlit Keyboard,Integrated,,,4.3, $389.99 ,49,19109.51,144
Lenovo,Lenovo Thinkpad,14 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,,2.4 GHz,3.7," $2,528.85 ",56,141615.6,363
HP,Elite Dragonfly G3,13.5 Inches,,512 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,4," $1,498.00 ",30,44940,235
MSI,Bravo 17 C7VFK-039US,17.3 Inches,Black,1 TB,Ryzen 7,32 GB,Windows 11 Pro,Backlit Keyboard,Dedicated,,,, $459.99 ,60,27599.4,437
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $865.70 ,61,52807.7,180
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,299.00 ",59,76641,480
Gigabyte,AORUS 17H BXF-74US554SH,17.3 Inches,Black,1 TB,Core i7,16 GB,Windows 11 Home,Thin Bezel,Dedicated,,,3.5," $2,299.00 ",63,144837,351
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,599.00 ",12,19188,449
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $589.99 ,17,10029.83,476
MSI,,15.6 Inches,,,,32 GB,,,,,3.5 GHz,3.9," $2,030.99 ",17,34526.83,190
LG,LG gram,17 Inches,Dark Silver,1 TB,Core i7-1065G7,16 GB,Windows 10 Home,Backlit Keyboard,Integrated,,,4.4, $658.99 ,46,30313.54,171
LG,14T90R-K.AAB6U1,14 Inches,Black,512 GB,Intel Core i5,16 GB,Windows 11 Home,Pen,Integrated,,,3.8, $389.99 ,35,13649.65,175
MSI,Prestige 14Evo A11MO-217,14 Inches,Gary,,Core i7,32 GB,Windows 10,"Anti-glare,Thin Bezel",Integrated,Intel Iris Xe Graphics,,4.2, $899.99 ,30,26999.7,456
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $389.99 ,24,9359.76,414
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,699.95 ",15,25499.25,410
Dell,Inspiron,15.6 Inches,Black,512 GB,Core i5 Family,32 GB,Windows 11 Home,,Integrated,Intel UHD Graphics,,3.4, $999.99 ,13,12999.87,110
HP,HP,14 Inches,Silver,1 TB,1.2GHz Cortex A8 Processor,8 GB,Windows 10,,Integrated,Intel HD Graphics 620,,4.3, $639.99 ,22,14079.78,104
Apple,,,,1 TB,,64 GB,Mac OS,,Integrated,,,," $2,229.07 ",59,131515.13,293
Dell,Alienware X15 R2 Laptop,15.6 Inches,Lunar Light,512 GB,Core i7,16 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,," $1,715.99 ",55,94379.45,252
SAMSUNG,Chromebook 4,11.6 Inches,Platinum Titan,32 GB,Celeron N3450,4 GB,Chrome OS,"light and compact design lets you stream, work, create, and play on a fast,",Integrated,,,4.1, $999.99 ,35,34999.65,169
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $439.99 ,59,25959.41,447
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $389.99 ,32,12479.68,367
ROKC,,14 Inches,Silver,1000 GB,Intel Core i3,,Windows 11,,Integrated,Intel,1.7 GHz,, $692.99 ,13,9008.87,492
Lenovo,ThinkPad P1 Gen 6,16 Inches,Black,1 TB,Core i9,32 GB,Windows 11 Pro,Backlit Keyboard,Dedicated,,,," $2,079.99 ",48,99839.52,483
acer,Aspire 3,17.3 Inches,Silver,256 GB,Core i3,12 GB,Windows 11,,Integrated,Intel UHD Graphics,,4.3, $999.99 ,26,25999.74,116
Lenovo,Flex 5 14 Laptop,14 Inches,Graphite Grey,,Ryzen 5,16 GB,Windows 10 Home,Pen,Integrated,AMD Radeon Graphics 5500,,4.5, $589.99 ,35,20649.65,447
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $589.99 ,34,20059.66,471
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $93.99 ,54,5075.46,317
ASUS,VivoBook S 14X OLED,14.5 Inches,Black,512 GB,Core i5,8 GB,Windows 11 Home,"Fingerprint Reader, High Definition Audio, Backlit Keyboard",Integrated,,,4.2," $1,029.99 ",23,23689.77,389
Dell,Latitude 5440,14 Inches,,1 TB,Core i7 Family,32 GB,Windows 11 Pro,Anti-glare,Integrated,intel,,," $1,599.00 ",58,92742,97
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,171.31 ",53,62079.43,413
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $589.99 ,37,21829.63,440
HP,3N8P1UT#ABA,15.6 Inches,Silver,256 GB,Core i5,16 GB,Windows 10 Pro,,Integrated,,2.4 GHz,5," $1,501.49 ",59,88587.91,419
HP,Chromebook 11 G9 EE,11.6 Inches,Black,,Celeron,4 GB,Chrome OS,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,4, $589.99 ,58,34219.42,315
Dell,XPS 9315 Laptop,13.4 Inches,Platinum Silver,512 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,3," $1,599.00 ",39,62361,240
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,599.00 ",25,39975,94
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,699.00 ",13,22087,347
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $999.99 ,13,12999.87,82
HP,,15.6 Inches,Natural silver,512 GB,Ryzen 7 4700U,8 GB,PC,Anti glare,Integrated,,4.1 GHz,4.3, $589.99 ,40,23599.6,441
Dell,Latitude 9000,14 Inches,Graphite,256 GB,Core i7,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,," $1,599.00 ",25,39975,376
Dell,XPS 13 9305,13.3 Inches,Platinum Silver,,Core i7 Family,16 GB,Windows 11 Home,"Fingerprint Reader, High Definition Audio, Backlit Keyboard, Anti Glare Coating",Integrated,Intel Iris Xe Graphics,,4.1," $1,786.59 ",30,53597.7,224
ASUS,ASUS Chromebook C425,14 Inches,,128 GB,Core m3-8100Y,4 GB,,Backlit Kb,Integrated,Intel HD Graphics 400,3.4 GHz,4.3," $1,930.77 ",65,125500.05,338
